CollegeName,TotalRegistrations
GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT,11
MOHAN BABU UNIVERSITY,11
ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY AND SCIENCES,11
SRM UNIVERSITY,11
GRIET,11
VIGNAN INSTITUTE OF TECHNOLOGY AND SCIENCE,11
RAMACHANDRA COLLEGE OF ENGINEERING,11
ANDHRA UNIVERSITY,11
NALLA NARASIMHA REDDY GROUP OF INSTITUTIONS,11
STANLEY COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN'S,11
ANURAG UNIVERSITY HYDERABAD,11
SNIST,11
BVRITH,11
MVGR,11
SRI INDU COLLEGE OF ENGINEERING AND TECHNOLOGY,10
NEIL GOGTE INSTITUTE OF TECHNOLOGY,10
ADITYA ENGINEERING COLLEGE,10
SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY,10
SREYAS INSTITUTE OF ENGINEERING AND TECHNOLOGY,10
GOKARAJU RANGARAJU INSTITUTE OF ENGINEERING & TECHNOLOGY,10
VALLURUPALLI NAGESWARA RAO VIGNANA JYOTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,10
MLR INSTITUTION OF TECHNOLOGY,10
MAHARAJ VIJAYARAM GAJAPATHI RAJ COLLEGE OF ENGINEERING,10
BVRIT HYDERABAD,10
VIDHYA JYOTHI INSTITUTE OF TECHNOLOGY,10
SRIDEVI WOMENS ENGINEERING COLLEGE,10
AURORA DEEMED TO BE UNIVERSITY,10
College ,10
MAHINDRA UNIVERSITY,9
SAVEETHA SCHOOL OF ENGINEERING,9
NARASARAOPETA ENGINEERING COLLEGE,9
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,9
SRI VASAVI ENGINEERING COLLEGE,9
BVRIT NARSAPUR,9
MRCET,9
G. NARAYANAMMA INSTITUTE OF TECHNOLOGY AND SCIENCE,9
G.NARAYANAMMA INSTITUTE OF TECHNOLOGY AND SCIENCE,9
OU,9
ICFAI TECH,9
NALLA NARSIMHA REDDY GROUP OF INSTITUTIONS,9
NARSIMHAREDDY ENGINEERING COLLEGE,9
BHARATH INSTITUTE OF HIGHER EDUCATION AND RESEARCH,8
TKR COLLEGE OF ENGINEERING AND TECHNOLOGY,8
SRI VENKATESWARA COLLEGE OF ENGINEERING,8
PRAGATI ENGINEERING COLLEGE,8
PRESIDENCY UNIVERSITY,8
GOKARAJU LAILAVATHI ENGINEERING COLLEGE,8
LAKIREDDY BALI REDDY COLLEGE OF ENGINEERING,8
K L UNIVERSITY,8
MALLA REDDY COLLEGE OF ENGINEERING FOR WOMEN,8
SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,8
SREENIDHI INSTITUTE OF SCIENCE & TECHNOLOGY,8
CMRTC,8
BALAJI INSTITUTE OF TECHNOLOGY AND SCIENCE,8
RGMCET,8
MVSR COLLEGE,8
VIGNAN BHARATHI INSTITUTE OF TECHNOLOGY,8
UNIVERSITY OF NORTH TEXAS,7
NALLA NARASIMHA REDDY EDUCATION SOCIETY'S GROUP OF INSTITUTIONS,7
ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,7
THE APOLLO UNIVERSITY,7
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,7
HOLY MARY INSTITUTE OF TECHNOLOGY AND SCIENCE,7
MADANAPALLE INSTITUTE OF TECHNOLOGY AND SCIENCE,7
VIT-AP,7
JNTUA,7
NATIONAL INSTITUTE OF TECHNOLOGY ANDHRA PRADESH,7
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES BASAR,7
ADITYA DEGREE COLLEGE,7
JNTUH UCESTH,7
MARRI LAXMAN REDDY INSTITUTE OF TECHNOLOGY,7
JNTUHUCESTH,7
VARDHAMAN COLLAGE OF ENGINEERING,7
JNTUH COLLEGE OF ENGINEERING,7
IARE,7
ICFAI,7
OSMANIA UNIVERSITY (STANLEY COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN),7
USHA RAMA COLLEGE OF ENGINEERING AND TECHNOLOGY,6
RAGHU ENGINEERING COLLEGE,6
CHANDIGARH UNIVERSITY,6
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES,6
VEL TECH UNIVERSITY,6
SHRI VISHNU ENGINEERING COLLEGE FOR WOMEN,6
LENDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,6
MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,6
ANDHRA LOYOLA INSTITUTE OF ENGINEERING AND TECHNOLOGY,6
CHRIST UNIVERSITY,6
B.V.RAJU INSTITUTE OF TECHNOLOGY,6
G NARAYANAMMA INSTITUTE OF TECHNOLOGY AND SCIENCE,6
JNTU COLLEGE OF ENGINEERING RAJANNA SIRCILLA,6
SRINIVASA INSTITUTE OF ENGINEERING TECHNOLOGY TECHNOLOGY,6
BVRIT COLLEGE OF ENGINEERING FOR WOMEN,6
ICFAI UNIVERSITY HYDERABAD,6
BVRIT HYDERABAD COLLAGE OF ENGINEERING FOR WOMEN,6
SRIDEVI WOMEN’S ENGINEERING COLLEGE,6
JAYAMUKHI INSTITUTE OF TECHNOLOGY AND SCIENCES,6
MAHATMA GANDHI UNIVERSITY,6
College,6
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, BASAR",5
SATHYABAMA UNIVERSITY,5
SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE,5
MALLA REDDY INSTITUTE OF TECHNOLOGY AND SCIENCE,5
GURUNANAK INSTITUTE OF TECHNOLOGY,5
JNTUH HYDERABAD,5
AUDISANKARA COLLEGE OF ENGINEERING AND TECHNOLOGY,5
GMR INSTITUTE OF TECHNOLOGY,5
UNIVERSITY OF BRIDGEPORT,5
BONAM VENKATA CHALAMAYYA ENGINEERING COLLEGE,5
GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,5
SASI INSTITUTE OF TECHNOLOGY AND ENGINEERING,5
SIR CR REDDY COLLEGE OF ENGINEERING,5
VIGNAN INSTITUTE OF INFORMATION TECHNOLOGY,5
KRISHNA UNIVERSITY,5
QIS COLLEGE OF ENGINEERING AND TECHNOLOGY,5
GITAM HYDERABAD,5
JAYAMUKHI INSTITUTE OF TECHNOLOGICAL SCIENCE,5
MATURI VENKATA SUBBA RAO (MVSR) ENGINEERING COLLEGE,5
VIGNANA BHARATI INSTITUTE OF TECHNOLOGY,5
JNTUH RAJANNA SIRCILLA,5
COLLAGE,5
CMR COLLAGE OF ENGINEERING AND TECHNOLOGY,5
ST MARY'S ENGENEERING COLLEGE,5
ICFAI TECH HYDERABAD,5
NALLA NARSHIMHA REDDY GROUP OF INSTITUTIONS,5
ANURAG GROUP OF INSTITUTIONS,5
MATURI VENKATA SUBBA RAO (MVSR),5
STANLEY COLLEGE OF ENGINEERING,5
GOKARAJU RANGARAJU INSTITUTION OF ENGINEERING AND TECHNOLOGY,5
UNIVERSITY,5
UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY MAHATMA GANDHI UNIVERSITY,5
Vignan Institute of Technology and Science ,5
Chaitanya Bharathi Institute of Technology,5
G. Narayanamma Institute of Technology and Science,5
JAIN UNIVERSITY,4
UNIVERSITY OF CENTRAL MISSOURI,4
KG REDDY COLLEGE OF ENGINEERING AND TECHNOLOGY,4
PACE INSTITUTE OF TECHNOLOGY AND SCIENCES,4
SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY,4
ANDHRA UNIVERSITY COLLEGE OF ENGINEERING,4
